plot	site	time	total_precipitation_hourly	u_component_of_wind_10m	v_component_of_wind_10m	ws
plot1	Nouragues	2001-01-17 00:00:00	0.0	-1.3322601318359375	-1.730682373046875	2.1840738392404853
plot1	Nouragues	2001-01-17 01:00:00	0.0	-1.24835205078125	-1.5672149658203125	2.003633098094787
plot1	Nouragues	2001-01-17 02:00:00	0.0	-1.040740966796875	-1.396636962890625	1.7417624884241947
plot1	Nouragues	2001-01-17 03:00:00	0.0	-0.801666259765625	-1.287872314453125	1.5169983158795712
plot1	Nouragues	2001-01-17 04:00:00	0.0	-0.669677734375	-1.3483428955078125	1.5054889012490345
plot1	Nouragues	2001-01-17 05:00:00	2.7567148208618164e-07	-0.6175079345703125	-1.311004638671875	1.4491546542299987
plot1	Nouragues	2001-01-17 06:00:00	0.0	-0.5053558349609375	-1.289581298828125	1.3850647805125578
plot1	Nouragues	2001-01-17 07:00:00	8.568167686462402e-07	-0.305877685546875	-1.2298431396484375	1.2673102645586989
plot1	Nouragues	2001-01-17 08:00:00	2.726912498474121e-06	-0.0764617919921875	-1.1680450439453125	1.1705450142219493
plot1	Nouragues	2001-01-17 09:00:00	6.109476089477539e-06	0.0355377197265625	-1.1890106201171875	1.1895415857694183
plot1	Nouragues	2001-01-17 10:00:00	1.2442469596862793e-05	0.1009368896484375	-1.08001708984375	1.0847235454467021
plot1	Nouragues	2001-01-17 11:00:00	2.3066997528076172e-05	-0.0303192138671875	-0.7377643585205078	0.7383870959278072
plot1	Nouragues	2001-01-17 12:00:00	0.00014731287956237793	-1.2349090576171875	-1.734100341796875	2.128873969027995
plot1	Nouragues	2001-01-17 13:00:00	0.0002896934747695923	-1.669189453125	-1.9866790771484375	2.5948192973698774
plot1	Nouragues	2001-01-17 14:00:00	0.00016495883454581417	-1.4649505615234375	-2.0574798583984375	2.5257283138578246
plot1	Nouragues	2001-01-17 15:00:00	0.00023803114891052246	-1.3087005615234375	-2.111083984375	2.483822205556667
plot1	Nouragues	2001-01-17 16:00:00	0.00035762786865234375	-1.3494720458984375	-2.075674057006836	2.475782218530647
plot1	Nouragues	2001-01-17 17:00:00	4.1037797927856445e-05	-1.3861846923828125	-2.2211341857910156	2.61819500279982
plot1	Nouragues	2001-01-17 18:00:00	0.0008875727654071852	-1.2698974609375	-2.179971694946289	2.522878544849614
plot1	Nouragues	2001-01-17 19:00:00	0.00034117698669433594	-1.17840576171875	-2.8003387451171875	3.0381799200601094
plot1	Nouragues	2001-01-17 20:00:00	0.00025659799575805664	-1.498046875	-2.2467498779296875	2.700375798601804
plot1	Nouragues	2001-01-17 21:00:00	0.00016582012176513672	-1.5131378173828125	-1.7156524658203125	2.287585941089283
plot1	Nouragues	2001-01-17 22:00:00	4.13358211517334e-05	-1.3243408203125	-1.51312255859375	2.01082532450516
plot1	Nouragues	2001-01-17 23:00:00	8.046627044677734e-07	-1.2623291015625	-1.4515838623046875	1.9236866870556084
